epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5938.21,1.18041,2.81609,1.47415,0.73381,0.77036,0.8362,0.53405,1.38247,3.33077,1.84366,0.005842,0.005842,0.005842
44,6074.25,1.18118,2.80942,1.47299,0.72068,0.77456,0.83402,0.53426,1.37778,3.31329,1.83932,0.005743,0.005743,0.005743
45,6210.31,1.17912,2.79682,1.47145,0.74217,0.77098,0.83356,0.53394,1.37595,3.29713,1.83799,0.005644,0.005644,0.005644
46,6345.37,1.18072,2.79361,1.473,0.75501,0.76745,0.83545,0.53453,1.37303,3.28183,1.83657,0.005545,0.005545,0.005545
47,6481.26,1.17934,2.79552,1.47079,0.75891,0.75764,0.83533,0.53318,1.37409,3.27872,1.83714,0.005446,0.005446,0.005446
48,6615.43,1.17688,2.7936,1.46787,0.75866,0.75406,0.83649,0.53474,1.3716,3.2665,1.83509,0.005347,0.005347,0.005347
49,6750.84,1.1768,2.78321,1.46845,0.75814,0.77253,0.84017,0.53949,1.37071,3.25015,1.83355,0.005248,0.005248,0.005248
50,6891.73,1.17694,2.78773,1.46883,0.74211,0.77823,0.84347,0.54032,1.3689,3.23198,1.83191,0.005149,0.005149,0.005149
51,7028.77,1.17342,2.77178,1.46508,0.76204,0.77709,0.84495,0.54108,1.36971,3.21832,1.83211,0.00505,0.00505,0.00505
52,7164.47,1.1701,2.76465,1.46267,0.76111,0.78314,0.84422,0.54016,1.37165,3.20674,1.83442,0.004951,0.004951,0.004951
53,7300.63,1.17134,2.75755,1.46229,0.76457,0.78164,0.84541,0.54103,1.36782,3.19019,1.83162,0.004852,0.004852,0.004852
54,7436.86,1.16799,2.74059,1.45846,0.76562,0.77504,0.84739,0.54558,1.3667,3.18036,1.82984,0.004753,0.004753,0.004753
55,7573.57,1.16763,2.74287,1.45996,0.76588,0.77342,0.84603,0.54793,1.36324,3.16664,1.82617,0.004654,0.004654,0.004654
56,7711.36,1.17048,2.752,1.46295,0.76833,0.77264,0.84615,0.54809,1.35844,3.15844,1.82148,0.004555,0.004555,0.004555
57,7848.66,1.16698,2.7339,1.45673,0.76878,0.773,0.84531,0.54687,1.35868,3.14693,1.82116,0.004456,0.004456,0.004456
58,7984.02,1.16581,2.73053,1.45486,0.7806,0.75969,0.84405,0.54671,1.35585,3.13625,1.81855,0.004357,0.004357,0.004357
59,8120.79,1.1646,2.72724,1.45743,0.77835,0.76143,0.84223,0.54747,1.35137,3.1231,1.81387,0.004258,0.004258,0.004258
60,8256.49,1.16286,2.72022,1.45556,0.75857,0.76934,0.84698,0.55144,1.34961,3.11213,1.81335,0.004159,0.004159,0.004159
61,8393.41,1.16164,2.71924,1.45473,0.74109,0.77154,0.84542,0.55039,1.34704,3.10541,1.81109,0.00406,0.00406,0.00406
62,8530.04,1.16263,2.71278,1.45227,0.75746,0.76921,0.84867,0.55433,1.34221,3.09494,1.80723,0.003961,0.003961,0.003961
63,8666.87,1.16129,2.71626,1.45247,0.75575,0.77085,0.84647,0.55273,1.33741,3.08765,1.80279,0.003862,0.003862,0.003862
64,8803.03,1.16115,2.71552,1.45244,0.75527,0.77537,0.8452,0.55402,1.33701,3.07823,1.80232,0.003763,0.003763,0.003763
65,8939.77,1.15699,2.69948,1.44854,0.74845,0.77766,0.84116,0.55238,1.33456,3.07077,1.80028,0.003664,0.003664,0.003664
66,9075.25,1.15669,2.68827,1.44766,0.73439,0.78929,0.84187,0.55316,1.3321,3.05784,1.79814,0.003565,0.003565,0.003565
67,9213.16,1.15473,2.68025,1.44462,0.77511,0.76552,0.84243,0.55245,1.32844,3.04393,1.79426,0.003466,0.003466,0.003466
68,9347.66,1.15165,2.68029,1.44452,0.78934,0.75261,0.84351,0.55628,1.32812,3.03216,1.79321,0.003367,0.003367,0.003367
69,9483.72,1.15404,2.68465,1.44645,0.78935,0.75171,0.84397,0.55579,1.327,3.02493,1.7912,0.003268,0.003268,0.003268
70,9620.16,1.15144,2.67543,1.44369,0.75148,0.78503,0.84354,0.5543,1.32754,3.01641,1.79076,0.003169,0.003169,0.003169
71,9755.75,1.14701,2.65597,1.43719,0.74978,0.78174,0.84432,0.55657,1.32603,3.00944,1.78813,0.00307,0.00307,0.00307
72,9889.52,1.14884,2.65806,1.44178,0.76397,0.77812,0.84354,0.55726,1.32069,3.00274,1.78359,0.002971,0.002971,0.002971
73,10026.6,1.14672,2.6558,1.43781,0.74649,0.78044,0.84206,0.55775,1.31905,2.99668,1.7813,0.002872,0.002872,0.002872
74,10161.9,1.14765,2.66286,1.43971,0.73574,0.79021,0.84056,0.55705,1.31725,2.98956,1.7792,0.002773,0.002773,0.002773
75,10299.1,1.14476,2.64679,1.43697,0.73698,0.78208,0.8407,0.55667,1.31331,2.9779,1.77553,0.002674,0.002674,0.002674
76,10435.4,1.14591,2.64384,1.43684,0.73804,0.78458,0.83928,0.557,1.30968,2.967,1.77197,0.002575,0.002575,0.002575
77,10570.3,1.13952,2.62749,1.4329,0.72935,0.78852,0.84026,0.55826,1.30796,2.96253,1.77001,0.002476,0.002476,0.002476
78,10707.1,1.13992,2.6245,1.43205,0.73337,0.78629,0.84142,0.55899,1.30483,2.95727,1.7669,0.002377,0.002377,0.002377
79,10841.5,1.14345,2.63415,1.43292,0.73001,0.78637,0.84008,0.55889,1.30337,2.94914,1.76506,0.002278,0.002278,0.002278
80,10977.2,1.13777,2.61679,1.43008,0.73993,0.78444,0.83997,0.55773,1.30104,2.94566,1.76227,0.002179,0.002179,0.002179
81,11113.1,1.13966,2.61781,1.42995,0.73945,0.78605,0.83939,0.55917,1.29978,2.93729,1.75999,0.00208,0.00208,0.00208
