epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,981.254,1.01609,0.73329,1.10274,0.89043,0.9332,0.95745,0.7509,0.98791,0.61106,1.07118,0.000456863,0.000456863,0.000456863
43,1003.34,1.02053,0.73502,1.10946,0.89708,0.93067,0.95677,0.74944,0.98923,0.6089,1.07153,0.00044925,0.00044925,0.00044925
44,1026.19,1.01535,0.73463,1.10336,0.90723,0.93632,0.9612,0.75581,0.97931,0.58602,1.07587,0.000441637,0.000441637,0.000441637
45,1049.28,1.01329,0.72922,1.10273,0.91538,0.92682,0.96158,0.75327,0.98578,0.61551,1.07153,0.000434024,0.000434024,0.000434024
46,1071.91,1.00848,0.72985,1.10399,0.90256,0.92615,0.95672,0.74198,1.00278,0.62369,1.07886,0.000426411,0.000426411,0.000426411
47,1094.94,1.00921,0.72364,1.10107,0.90776,0.93197,0.95999,0.75731,0.98019,0.59034,1.06521,0.000418797,0.000418797,0.000418797
48,1126.23,1.00227,0.72277,1.10069,0.90242,0.93006,0.9576,0.75091,0.98417,0.61103,1.07464,0.000411184,0.000411184,0.000411184
49,1156.89,1.01268,0.72578,1.10483,0.89462,0.93693,0.9592,0.761,0.9839,0.60379,1.06053,0.000403571,0.000403571,0.000403571
50,1182.81,1.0083,0.72479,1.10102,0.89696,0.93173,0.96102,0.75675,0.97681,0.63342,1.06986,0.000395958,0.000395958,0.000395958
51,1207.55,1.00125,0.71645,1.09553,0.91906,0.92714,0.95989,0.74949,0.98836,0.59259,1.07561,0.000388345,0.000388345,0.000388345
52,1232.44,1.00213,0.71762,1.09436,0.92293,0.92912,0.9615,0.75929,0.96861,0.58892,1.06387,0.000380732,0.000380732,0.000380732
53,1261.01,0.99895,0.71464,1.09391,0.91443,0.93156,0.95916,0.75923,0.95875,0.59519,1.06164,0.000373119,0.000373119,0.000373119
54,1291.89,0.99993,0.71536,1.09667,0.90859,0.93851,0.95788,0.7523,0.98039,0.59675,1.07103,0.000365506,0.000365506,0.000365506
55,1320.16,0.99489,0.71486,1.093,0.91382,0.93958,0.9622,0.75763,0.97648,0.57908,1.06881,0.000357893,0.000357893,0.000357893
56,1344.8,0.99426,0.71315,1.09633,0.89617,0.94124,0.95712,0.75684,0.9721,0.59374,1.06082,0.00035028,0.00035028,0.00035028
57,1369.5,0.9955,0.71028,1.0904,0.92412,0.92419,0.95955,0.75933,0.97097,0.60833,1.06472,0.000342666,0.000342666,0.000342666
58,1397.59,0.9955,0.70592,1.09324,0.9032,0.94512,0.96116,0.75999,0.96387,0.59768,1.05795,0.000335053,0.000335053,0.000335053
59,1428.06,0.99239,0.71064,1.09166,0.91517,0.92616,0.96408,0.7628,0.96025,0.58814,1.05744,0.00032744,0.00032744,0.00032744
60,1456.68,0.98371,0.70188,1.08801,0.90445,0.93474,0.96035,0.76086,0.97179,0.6303,1.06308,0.000319827,0.000319827,0.000319827
61,1481.28,0.98479,0.70444,1.09168,0.91559,0.93714,0.96222,0.7634,0.97136,0.59491,1.06333,0.000312214,0.000312214,0.000312214
62,1505.77,0.98172,0.69984,1.0865,0.90909,0.93768,0.9643,0.76714,0.96851,0.59069,1.05947,0.000304601,0.000304601,0.000304601
63,1533.14,0.98448,0.69865,1.08753,0.91154,0.9415,0.9634,0.76563,0.96224,0.59031,1.05663,0.000296988,0.000296988,0.000296988
64,1563.53,0.98737,0.70082,1.09108,0.91665,0.92849,0.96184,0.76829,0.95898,0.59521,1.05793,0.000289375,0.000289375,0.000289375
65,1593.8,0.98367,0.69616,1.09023,0.90652,0.9356,0.96355,0.76206,0.96443,0.58556,1.06154,0.000281762,0.000281762,0.000281762
66,1618.06,0.97861,0.69343,1.08295,0.91844,0.93472,0.96352,0.76459,0.98701,0.58484,1.07107,0.000274148,0.000274148,0.000274148
67,1643.07,0.97603,0.69247,1.08438,0.90863,0.94272,0.96263,0.76178,0.97033,0.57431,1.06539,0.000266535,0.000266535,0.000266535
68,1670.57,0.97443,0.68943,1.08554,0.90704,0.94233,0.96172,0.76715,0.95663,0.59726,1.05973,0.000258922,0.000258922,0.000258922
69,1701.38,0.97795,0.69282,1.08505,0.91073,0.93363,0.962,0.76292,0.96304,0.58944,1.06082,0.000251309,0.000251309,0.000251309
70,1731.11,0.97368,0.68821,1.08509,0.91015,0.94358,0.96195,0.76519,0.96904,0.56969,1.06194,0.000243696,0.000243696,0.000243696
71,1755.87,0.97006,0.68575,1.08181,0.91811,0.93192,0.96123,0.7668,0.95496,0.58041,1.05433,0.000236083,0.000236083,0.000236083
72,1780.6,0.97093,0.68454,1.08148,0.90197,0.93283,0.96143,0.77044,0.95532,0.58498,1.05247,0.00022847,0.00022847,0.00022847
73,1804.14,0.96692,0.67929,1.07686,0.90805,0.93618,0.96271,0.76407,0.96168,0.59046,1.0585,0.000220857,0.000220857,0.000220857
74,1826.41,0.96379,0.67624,1.08117,0.91928,0.93167,0.96046,0.76384,0.96734,0.58293,1.06294,0.000213244,0.000213244,0.000213244
75,1848.83,0.96351,0.68238,1.07989,0.90971,0.93429,0.96198,0.76885,0.96116,0.57528,1.06042,0.000205631,0.000205631,0.000205631
76,1871.43,0.96111,0.67367,1.07584,0.90677,0.93949,0.96006,0.76612,0.96127,0.58292,1.05812,0.000198018,0.000198018,0.000198018
77,1894.04,0.96042,0.68054,1.08194,0.91545,0.93228,0.96067,0.7646,0.96296,0.5806,1.05996,0.000190404,0.000190404,0.000190404
78,1931.99,0.95651,0.67316,1.07486,0.9159,0.93438,0.96135,0.76654,0.96615,0.58677,1.05967,0.000182791,0.000182791,0.000182791
79,1980.99,0.96201,0.67696,1.07684,0.91187,0.94008,0.96081,0.76782,0.97021,0.58888,1.06042,0.000175178,0.000175178,0.000175178
