epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3647.04,0.7418,0.45432,1.01464,0.90645,0.89897,0.93058,0.75175,0.71552,0.36608,1.06584,0.005842,0.005842,0.005842
44,3675.53,0.74215,0.45847,1.01546,0.87637,0.88835,0.92826,0.75684,0.7113,0.37406,1.06099,0.005743,0.005743,0.005743
45,3703.77,0.73887,0.45165,1.01323,0.87751,0.91094,0.93836,0.76086,0.71175,0.37343,1.06225,0.005644,0.005644,0.005644
46,3732.03,0.73596,0.44653,1.01187,0.90341,0.90041,0.93462,0.76364,0.70737,0.36168,1.06081,0.005545,0.005545,0.005545
47,3760.37,0.73326,0.44496,1.01077,0.90977,0.9036,0.93589,0.76369,0.7069,0.36143,1.05836,0.005446,0.005446,0.005446
48,3788.49,0.72774,0.44473,1.00787,0.9047,0.91068,0.93779,0.76511,0.70319,0.3544,1.05984,0.005347,0.005347,0.005347
49,3816.3,0.725,0.43983,1.00879,0.91322,0.91549,0.93454,0.76341,0.70029,0.34866,1.05649,0.005248,0.005248,0.005248
50,3844.84,0.72125,0.43658,1.00505,0.92102,0.89468,0.93389,0.75911,0.69939,0.34826,1.05435,0.005149,0.005149,0.005149
51,3872.59,0.71792,0.43443,1.00273,0.91291,0.90624,0.94255,0.77168,0.69631,0.34598,1.05353,0.00505,0.00505,0.00505
52,3900.78,0.71492,0.43924,1.00368,0.9093,0.90571,0.93446,0.76537,0.6853,0.34091,1.04405,0.004951,0.004951,0.004951
53,3929.28,0.71397,0.4297,1.00003,0.91623,0.891,0.93211,0.76248,0.69244,0.33831,1.04738,0.004852,0.004852,0.004852
54,3957.77,0.71244,0.43012,1.0019,0.90448,0.9111,0.94181,0.77013,0.69084,0.34114,1.051,0.004753,0.004753,0.004753
55,3985.52,0.70458,0.42237,0.99726,0.91573,0.91072,0.94208,0.76908,0.68204,0.33462,1.04373,0.004654,0.004654,0.004654
56,4013.46,0.70136,0.42112,0.99733,0.9118,0.90121,0.93615,0.77033,0.68542,0.33846,1.0429,0.004555,0.004555,0.004555
57,4041.32,0.70226,0.41933,0.99755,0.88446,0.91962,0.9394,0.76869,0.68206,0.33091,1.04238,0.004456,0.004456,0.004456
58,4069.64,0.70012,0.42007,0.99313,0.90628,0.90148,0.93834,0.76843,0.67506,0.3302,1.04075,0.004357,0.004357,0.004357
59,4097.77,0.69934,0.41779,0.99352,0.89657,0.91401,0.93723,0.76965,0.67797,0.32885,1.03609,0.004258,0.004258,0.004258
60,4125.73,0.69222,0.41435,0.98877,0.92449,0.89345,0.93764,0.77264,0.66937,0.32707,1.03427,0.004159,0.004159,0.004159
61,4231,0.68943,0.41006,0.99041,0.92683,0.90547,0.93768,0.76463,0.67367,0.32303,1.03997,0.00406,0.00406,0.00406
62,4360.35,0.69049,0.4105,0.99044,0.92078,0.90274,0.93461,0.76753,0.66445,0.31435,1.0326,0.003961,0.003961,0.003961
63,4490.62,0.68212,0.40803,0.98397,0.9054,0.90621,0.93576,0.76528,0.6695,0.31852,1.03751,0.003862,0.003862,0.003862
64,4621,0.685,0.40462,0.98677,0.91189,0.90887,0.93535,0.77113,0.66773,0.31493,1.03289,0.003763,0.003763,0.003763
65,4750.91,0.67953,0.40275,0.98299,0.92779,0.88992,0.94064,0.76794,0.66846,0.32142,1.03528,0.003664,0.003664,0.003664
66,4881.07,0.6703,0.39537,0.97891,0.912,0.89511,0.93596,0.76821,0.66196,0.31294,1.03028,0.003565,0.003565,0.003565
67,5012.27,0.67658,0.40181,0.98582,0.91901,0.91265,0.93821,0.77304,0.66116,0.30991,1.02914,0.003466,0.003466,0.003466
68,5144.24,0.67418,0.39875,0.98651,0.92324,0.90189,0.93272,0.76935,0.6624,0.30629,1.03029,0.003367,0.003367,0.003367
69,5275.85,0.6665,0.39193,0.97665,0.92117,0.90209,0.93553,0.77222,0.65809,0.30647,1.02697,0.003268,0.003268,0.003268
70,5408.51,0.66786,0.39164,0.97885,0.93158,0.90364,0.93868,0.77336,0.65812,0.30526,1.03119,0.003169,0.003169,0.003169
71,5540.59,0.66252,0.38959,0.97657,0.90413,0.91419,0.9406,0.77628,0.65463,0.30123,1.02652,0.00307,0.00307,0.00307
72,5632.98,0.66277,0.39045,0.97744,0.93289,0.90399,0.93914,0.77736,0.65055,0.29922,1.02299,0.002971,0.002971,0.002971
73,5721.77,0.66031,0.3872,0.97537,0.93451,0.90249,0.94236,0.77795,0.64926,0.29661,1.02291,0.002872,0.002872,0.002872
74,5808.2,0.65953,0.38486,0.97576,0.92019,0.90763,0.94334,0.77561,0.6491,0.29557,1.02174,0.002773,0.002773,0.002773
75,5900.27,0.65379,0.38222,0.97424,0.92189,0.90395,0.94053,0.77682,0.64454,0.29607,1.01786,0.002674,0.002674,0.002674
