epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2048,2.94038,21.5254,3.91647,0.75092,0.09679,0.0714,0.01681,2.99314,20.4111,3.84527,0.0033253,0.0033253,0.0033253
2,60.0714,2.22522,14.3477,3.01333,0.73726,0.15797,0.19078,0.05192,2.55989,16.7219,3.53537,0.00659271,0.00659271,0.00659271
3,79.7592,1.85143,13.1699,2.56135,0.76453,0.20438,0.2881,0.09068,2.17294,22.0022,3.08247,0.00979413,0.00979413,0.00979413
4,101.207,1.67516,12.2637,2.31626,0.53248,0.31722,0.30201,0.08282,2.41842,23.7397,3.26472,0.009703,0.009703,0.009703
5,121.033,1.59535,11.4995,2.19705,0.42508,0.35793,0.35442,0.11494,2.24729,15.2178,3.02266,0.009604,0.009604,0.009604
6,141.597,1.53826,10.9716,2.12794,0.29592,0.44451,0.3566,0.10985,2.13465,13.8076,2.96867,0.009505,0.009505,0.009505
7,162.359,1.50625,10.5076,2.08279,0.42824,0.43622,0.44676,0.139,2.29541,15.1499,3.1834,0.009406,0.009406,0.009406
8,183.099,1.45765,10.0474,2.02229,0.32381,0.53981,0.44733,0.17991,1.96304,14.2221,2.79071,0.009307,0.009307,0.009307
9,203.144,1.43415,9.93028,1.98889,0.33452,0.58035,0.46094,0.2082,1.62792,11.891,2.41448,0.009208,0.009208,0.009208
10,222.316,1.40035,9.60405,1.95289,0.43663,0.5521,0.47146,0.18912,1.78712,12.4056,2.56405,0.009109,0.009109,0.009109
11,242.274,1.38361,9.42018,1.93416,0.43651,0.55983,0.51074,0.21809,1.70958,12.2338,2.48764,0.00901,0.00901,0.00901
12,261.424,1.36802,9.27141,1.91419,0.40748,0.5324,0.50019,0.25912,1.47517,12.0714,2.26018,0.008911,0.008911,0.008911
13,281.379,1.3478,9.15601,1.88904,0.45751,0.56859,0.56064,0.27757,1.55353,11.0096,2.32224,0.008812,0.008812,0.008812
14,300.703,1.3411,9.02701,1.87797,0.43062,0.65358,0.54323,0.27998,1.38428,11.5074,2.19559,0.008713,0.008713,0.008713
15,320.79,1.32489,8.89071,1.86181,0.41756,0.59014,0.54321,0.2748,1.61124,10.6614,2.37735,0.008614,0.008614,0.008614
16,340.079,1.31725,8.76585,1.84195,0.42547,0.56334,0.47188,0.25971,1.38096,10.6506,2.12735,0.008515,0.008515,0.008515
17,360.134,1.30309,8.7614,1.83163,0.4787,0.66459,0.61057,0.3,1.54376,10.5764,2.26981,0.008416,0.008416,0.008416
18,380.061,1.29966,8.61526,1.8288,0.37856,0.65562,0.5475,0.28977,1.46178,10.7892,2.17718,0.008317,0.008317,0.008317
19,399.408,1.28848,8.5805,1.8209,0.40118,0.55615,0.52053,0.29005,1.32919,11.4325,2.10699,0.008218,0.008218,0.008218
20,419.464,1.2797,8.40508,1.80247,0.45698,0.68696,0.60016,0.32105,1.4314,11.8252,2.16143,0.008119,0.008119,0.008119
21,438.738,1.2808,8.37243,1.80675,0.56628,0.64929,0.6254,0.33917,1.40603,10.0829,2.11784,0.00802,0.00802,0.00802
22,458.893,1.27007,8.35273,1.79411,0.52684,0.60973,0.63249,0.35881,1.36387,9.51307,2.06608,0.007921,0.007921,0.007921
23,477.81,1.26457,8.32657,1.78465,0.47285,0.56195,0.56394,0.31093,1.42325,10.958,2.14133,0.007822,0.007822,0.007822
