epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,878.977,1.00005,0.83667,1.49846,0.54229,0.63581,0.62283,0.40008,1.16502,1.09102,1.79225,0.005743,0.005743,0.005743
45,897.95,1.00194,0.83287,1.49721,0.5761,0.64443,0.6512,0.42261,1.16146,1.06483,1.79387,0.005644,0.005644,0.005644
46,917.131,0.99482,0.82714,1.49114,0.57613,0.61811,0.63438,0.40214,1.17639,1.0569,1.81044,0.005545,0.005545,0.005545
47,936.373,0.99814,0.82908,1.49073,0.57988,0.68265,0.66148,0.4299,1.14596,1.02433,1.78116,0.005446,0.005446,0.005446
48,955.504,1.00085,0.83024,1.49603,0.58012,0.67458,0.67305,0.42608,1.1557,1.03222,1.79656,0.005347,0.005347,0.005347
49,974.79,0.99217,0.82545,1.48939,0.56044,0.66864,0.6553,0.4234,1.13957,1.0148,1.7817,0.005248,0.005248,0.005248
50,993.949,0.98442,0.81783,1.48278,0.54625,0.68675,0.66424,0.42738,1.14782,1.03797,1.78396,0.005149,0.005149,0.005149
51,1013.3,0.98551,0.81977,1.4797,0.59289,0.66824,0.683,0.45268,1.11496,1.00583,1.75368,0.00505,0.00505,0.00505
52,1032.41,0.98489,0.81649,1.48147,0.59023,0.69665,0.68058,0.4379,1.16755,1.0011,1.79353,0.004951,0.004951,0.004951
53,1051.35,0.98641,0.81471,1.47891,0.62163,0.66152,0.68926,0.44966,1.1511,0.98102,1.76964,0.004852,0.004852,0.004852
54,1070.2,0.98499,0.81251,1.47776,0.5721,0.69942,0.68549,0.44223,1.14665,0.97596,1.7703,0.004753,0.004753,0.004753
55,1088.98,0.9805,0.80691,1.47299,0.61545,0.69759,0.69792,0.44908,1.14562,0.9753,1.77035,0.004654,0.004654,0.004654
56,1107.96,0.97925,0.8092,1.47606,0.60521,0.71559,0.69677,0.46128,1.12426,0.95516,1.75376,0.004555,0.004555,0.004555
57,1126.74,0.97841,0.80699,1.47294,0.64728,0.63849,0.68764,0.45026,1.1386,0.94963,1.75292,0.004456,0.004456,0.004456
58,1145.72,0.97579,0.80702,1.46989,0.57391,0.68011,0.64999,0.42561,1.13098,0.97481,1.76614,0.004357,0.004357,0.004357
59,1164.53,0.97915,0.80558,1.47294,0.57133,0.68009,0.67339,0.43896,1.12401,0.96862,1.75731,0.004258,0.004258,0.004258
60,1183.4,0.97174,0.7999,1.46332,0.59078,0.62905,0.67115,0.43731,1.1342,0.97077,1.75759,0.004159,0.004159,0.004159
61,1202.32,0.97503,0.80152,1.46845,0.60445,0.69476,0.70401,0.46224,1.13085,0.97419,1.74839,0.00406,0.00406,0.00406
62,1221.07,0.97661,0.79791,1.47039,0.64448,0.6701,0.70613,0.46985,1.09992,0.96385,1.71647,0.003961,0.003961,0.003961
63,1239.92,0.96898,0.79241,1.45823,0.62714,0.72082,0.71364,0.4673,1.13482,0.94469,1.74617,0.003862,0.003862,0.003862
64,1258.56,0.97241,0.79949,1.46588,0.6422,0.67762,0.72087,0.46646,1.17989,0.92803,1.77842,0.003763,0.003763,0.003763
65,1277.4,0.96351,0.78863,1.4532,0.6261,0.67948,0.6943,0.45338,1.12043,0.9611,1.73368,0.003664,0.003664,0.003664
66,1296.3,0.96229,0.78302,1.45326,0.64982,0.65797,0.71364,0.46811,1.12705,0.94994,1.73926,0.003565,0.003565,0.003565
67,1315.65,0.96926,0.79241,1.46242,0.63169,0.72471,0.71949,0.47688,1.11734,0.92995,1.72829,0.003466,0.003466,0.003466
68,1334.94,0.96605,0.79161,1.46093,0.68514,0.66082,0.72694,0.48043,1.12062,0.93465,1.72789,0.003367,0.003367,0.003367
69,1353.9,0.96411,0.77976,1.44792,0.64724,0.71358,0.72614,0.48038,1.11177,0.94008,1.72063,0.003268,0.003268,0.003268
70,1373.12,0.96147,0.78189,1.45058,0.67312,0.6993,0.73114,0.47633,1.12975,0.92964,1.74244,0.003169,0.003169,0.003169
71,1392.07,0.9561,0.77716,1.4466,0.59795,0.73764,0.72469,0.47621,1.12742,0.92455,1.7362,0.00307,0.00307,0.00307
72,1411.19,0.9579,0.78248,1.45208,0.64767,0.72029,0.72638,0.48259,1.12062,0.91496,1.71913,0.002971,0.002971,0.002971
